True	csv	dbase3	doc	docx	dwf	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	tex	text	tmp	troff	txt	unk	wp	xml
csv	67	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	1	11	2	0	0	7	0	2	0	0
dbase3	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	71	1	0	0	0	0	1	1	0	0	4	0	0	0	0	0	8	6	0	0	1	1	0	2	0	0	0	0	4	0
docx	0	0	0	74	0	0	0	1	6	0	0	0	0	0	1	0	2	2	2	5	2	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	69	0	6	2	7	0	0	0	3	0	4	0	2	1	3	3	2	0	0	0	0	0	0	0	0	0	0	0
f	2	0	0	0	0	34	2	1	0	0	0	3	0	0	0	6	1	2	0	0	0	5	0	4	1	0	1	5	10	14	7	0
fits	0	0	0	0	1	4	69	1	0	1	0	0	4	0	0	0	0	4	2	4	1	1	0	2	0	1	0	0	0	4	2	0
gif	0	0	0	0	2	0	2	77	0	0	0	0	5	0	1	0	1	3	4	6	1	0	0	0	0	1	0	0	0	0	4	0
gz	0	0	0	1	4	0	0	0	58	0	0	0	3	0	15	0	0	1	11	9	7	0	0	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	6	2	0	0	62	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	5	6	0
html	10	0	0	0	0	1	3	0	0	1	55	0	1	2	0	0	0	0	0	0	0	4	3	2	1	1	8	1	0	3	0	4
java	0	0	0	0	0	6	0	0	0	4	1	57	0	0	0	9	0	0	0	0	0	2	2	2	4	1	0	1	4	6	2	0
jpg	0	0	0	0	2	0	1	2	2	0	0	0	54	0	3	2	0	3	8	8	2	0	0	0	0	4	0	0	0	0	0	0
kml	2	0	0	0	0	1	0	0	0	0	0	2	0	65	0	4	0	0	0	0	0	0	0	0	3	0	4	0	1	1	0	14
kmz	0	0	0	0	12	0	0	0	13	0	0	0	0	0	61	0	0	3	4	2	2	0	0	0	0	0	0	0	0	0	0	0
log	4	0	0	0	0	1	1	0	0	1	0	4	0	2	0	66	0	0	0	0	0	8	0	2	4	0	2	2	3	0	0	0
pdf	0	0	0	0	5	0	1	2	7	0	0	0	1	0	3	0	35	9	3	12	9	9	1	0	0	0	0	0	0	1	0	0
png	0	0	0	0	4	0	1	6	5	0	0	0	0	0	2	0	0	69	6	6	4	0	0	0	0	0	0	0	0	0	5	0
pps	0	0	12	0	3	0	1	0	17	0	0	0	2	0	5	0	0	7	14	29	4	0	0	1	0	4	0	0	0	0	3	0
ppt	0	0	22	0	2	0	1	2	10	0	0	0	1	0	5	0	0	5	12	29	4	0	0	0	0	3	0	0	0	1	6	0
pptx	0	0	0	10	6	0	2	3	26	0	0	0	1	0	5	0	0	5	14	19	6	0	0	0	0	0	0	0	0	1	1	0
ps	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	4	7	0	0	0	0	78	4	0	1	0	2	0	3	1	0	1
rtf	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	6	87	0	1	0	2	0	0	1	2	0
sql	4	0	0	2	0	10	0	1	0	1	0	1	0	0	0	10	0	0	0	0	0	3	1	50	0	4	2	3	10	1	0	0
tex	0	0	0	0	0	5	0	0	0	0	3	1	0	1	0	6	0	0	0	0	0	1	7	2	62	1	0	0	4	1	3	3
text	0	0	16	0	0	11	8	2	0	1	1	0	0	0	0	1	0	1	4	2	1	3	0	5	0	13	0	10	12	4	1	0
tmp	2	0	0	3	0	1	0	0	0	0	4	0	0	0	0	6	5	0	0	3	0	4	1	3	2	3	39	4	13	3	0	2
troff	2	0	0	0	0	9	2	0	0	1	0	1	1	0	0	2	0	0	0	0	0	5	0	1	0	3	0	61	4	1	4	0
txt	5	0	0	0	0	12	9	0	0	1	0	2	0	0	0	3	1	0	0	0	0	8	1	9	0	4	1	3	34	6	5	0
unk	1	0	3	0	0	10	11	0	0	1	0	2	4	0	0	4	0	0	2	3	0	3	0	4	0	3	2	7	10	27	6	1
wp	0	0	0	1	0	1	1	0	0	1	0	0	0	0	3	0	0	7	5	2	0	0	0	1	1	0	0	1	0	1	74	0
xml	7	0	0	0	0	5	0	0	0	0	6	0	0	7	0	4	1	0	0	0	0	3	1	2	0	1	1	1	1	0	0	61
