True	csv	doc	gz	hlp	pdf	pps	ppt	sql	swf	tex	text	troff	wp	xls
csv	91	0	0	2	1	0	0	8	0	1	0	1	0	0
doc	1	72	0	0	1	8	6	0	3	0	1	0	5	3
gz	0	0	56	0	1	23	2	0	13	0	0	0	0	0
hlp	2	0	0	59	1	0	0	6	0	0	2	7	30	0
pdf	1	0	8	0	53	14	2	0	18	0	1	0	0	2
pps	0	17	7	0	4	30	11	0	18	0	0	0	4	5
ppt	0	22	3	0	2	39	11	0	13	0	0	0	2	3
sql	5	3	0	7	4	0	0	49	0	3	14	9	5	0
swf	0	1	2	0	1	17	6	0	65	0	0	0	5	2
tex	5	0	0	2	0	0	0	6	0	79	5	3	4	0
text	5	23	2	1	5	6	3	5	5	3	41	1	3	2
troff	10	0	0	2	5	0	0	4	0	0	5	68	8	0
wp	1	0	0	1	0	1	1	0	10	0	0	1	82	1
xls	0	36	0	0	0	6	1	0	3	0	0	0	2	49
