True	csv	doc	fits	gz	hlp	java	jpg	kmz	png	pps	sql	troff	unk	xls	xml
csv	64	0	0	0	1	3	0	0	0	0	19	13	0	0	0
doc	0	66	1	2	1	0	3	0	4	14	2	0	1	12	0
fits	0	0	78	1	0	1	7	0	0	4	0	0	6	1	0
gz	0	0	2	78	0	0	2	10	3	3	0	0	0	0	0
hlp	3	0	0	0	67	6	0	0	0	0	11	0	8	0	0
java	0	0	0	0	1	82	0	0	0	0	7	1	12	0	2
jpg	0	0	4	4	0	0	72	1	11	7	2	0	0	1	0
kmz	0	0	0	26	0	0	0	55	11	0	0	0	0	0	0
png	0	1	0	10	0	0	2	8	72	4	0	0	0	0	0
pps	0	16	6	35	0	0	3	6	16	16	0	0	0	4	0
sql	5	0	0	0	1	4	0	0	0	0	66	7	10	0	5
troff	4	0	1	0	9	4	0	0	0	0	10	67	4	0	0
unk	1	2	14	1	1	20	0	1	2	6	12	7	30	3	1
xls	0	53	1	0	0	0	3	0	0	6	0	1	0	42	0
xml	7	0	0	0	0	12	0	0	0	0	1	6	0	0	75
