True	doc	eps	f	html	jpg	kml	kmz	log	pps	ppt	ps	sql	swf	tex	troff	xls
doc	80	0	2	2	1	0	0	1	8	9	0	1	0	0	0	5
eps	0	58	3	1	0	1	0	9	1	0	22	1	0	0	0	0
f	0	1	59	2	0	0	0	2	0	0	5	17	0	3	7	0
html	0	5	2	75	0	8	0	3	0	0	1	3	0	1	2	0
jpg	6	0	0	0	62	0	2	0	24	2	0	0	9	0	0	1
kml	0	0	1	6	0	86	0	4	0	0	0	2	0	0	0	0
kmz	0	0	0	0	0	0	66	0	30	2	0	0	4	0	0	0
log	0	6	2	4	0	3	0	54	0	0	10	6	0	11	1	0
pps	12	0	0	0	4	0	8	0	50	11	0	0	14	0	0	1
ppt	26	0	0	0	4	0	6	0	41	6	0	0	11	0	0	6
ps	0	18	2	1	0	0	0	13	2	0	58	0	0	3	1	0
sql	0	7	14	2	0	0	0	0	0	0	8	59	0	3	5	0
swf	0	0	0	0	4	0	4	0	45	9	0	0	39	0	0	1
tex	0	2	4	0	0	0	0	7	0	0	0	4	0	83	0	0
troff	0	0	19	9	0	0	0	2	0	0	7	10	0	0	48	0
xls	39	0	0	0	1	0	0	0	4	0	0	0	2	0	0	56
