True	csv	doc	docx	eps	f	hlp	java	kml	pps	ps	swf	tex	text	tmp	troff	txt	wp
csv	74	0	0	0	1	0	0	2	0	2	0	7	1	4	4	3	0
doc	1	79	2	1	0	1	1	0	5	0	5	1	1	1	0	0	0
docx	0	0	88	0	0	0	0	0	2	0	11	0	0	0	0	0	0
eps	1	0	0	67	1	1	0	0	0	22	0	0	1	4	0	2	2
f	5	2	0	0	39	3	4	2	0	1	0	3	4	5	13	20	0
hlp	2	2	0	0	4	69	6	0	0	0	0	2	0	2	2	2	6
java	2	0	0	2	2	0	71	1	0	6	0	4	2	8	1	0	1
kml	0	0	0	0	0	0	6	86	0	1	0	6	0	1	0	1	0
pps	0	21	2	0	0	0	0	0	34	0	41	0	0	0	0	0	1
ps	0	0	0	29	0	0	3	4	0	54	0	4	1	5	2	1	0
swf	0	0	3	0	0	0	0	0	17	0	80	0	0	0	0	0	0
tex	0	0	0	0	3	0	4	3	0	3	0	80	0	2	0	2	2
text	0	28	3	1	6	0	2	0	1	0	14	4	11	5	5	17	1
tmp	4	4	0	2	4	1	0	3	0	5	0	5	2	63	3	5	0
troff	11	0	0	6	5	3	4	0	0	2	0	4	1	1	54	6	0
txt	10	0	0	3	7	1	6	0	0	2	0	4	22	2	16	26	5
wp	2	3	2	0	2	1	1	0	5	0	14	0	0	0	1	0	71
