True	csv	dbase3	docx	f	fits	gif	gz	hlp	jpg	kml	pdf	png	ps	rtf	troff	txt	wp	xls
csv	69	0	0	12	0	0	0	2	2	4	0	0	2	4	1	2	0	0
dbase3	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	0	80	0	1	1	9	0	0	0	4	3	0	0	0	0	0	0
f	10	0	0	48	11	0	0	4	0	1	2	0	1	0	12	9	1	0
fits	0	1	0	1	90	0	0	0	0	0	3	0	0	0	1	0	0	4
gif	0	0	0	0	8	80	1	0	2	0	6	5	0	0	0	0	0	6
gz	0	0	0	0	1	0	79	0	0	0	12	3	0	0	0	0	0	0
hlp	0	0	0	12	2	0	0	61	0	0	0	0	0	0	5	2	12	0
jpg	0	1	0	0	5	2	2	0	64	0	14	2	0	0	0	0	1	9
kml	2	0	0	2	0	0	0	0	0	94	5	0	0	0	0	2	0	0
pdf	0	0	0	0	2	4	13	0	2	0	69	2	6	0	0	0	0	2
png	0	0	0	0	1	4	9	0	1	0	14	61	0	0	0	0	6	1
ps	6	0	0	9	4	0	0	0	0	2	3	0	69	3	4	1	0	0
rtf	0	0	0	0	0	0	0	1	0	2	1	0	2	89	0	0	6	1
troff	6	0	0	22	1	0	0	2	0	0	0	0	5	0	61	3	2	1
txt	2	0	0	24	7	0	0	8	0	1	2	0	3	1	14	34	8	0
wp	0	0	0	0	5	2	0	1	2	0	0	9	0	0	0	0	63	9
xls	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	99
