True	csv	dbase3	dwf	fits	gif	gz	hlp	html	kml	kmz	png	pps	pptx	ps	rtf	swf	tmp	troff	txt
csv	61	0	0	1	0	0	0	2	0	0	0	0	0	18	0	0	1	9	6
dbase3	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	87	1	1	5	0	0	0	3	6	0	3	0	0	1	0	0	0
fits	0	0	4	64	3	1	0	0	0	0	0	4	1	4	0	2	1	0	12
gif	0	0	2	7	70	1	0	0	0	3	3	2	6	0	0	7	0	0	0
gz	0	0	5	0	1	68	0	0	0	5	4	1	11	0	0	6	0	0	0
hlp	2	0	0	1	0	0	79	0	0	0	0	0	0	2	0	0	2	5	13
html	0	0	0	0	0	0	0	54	11	0	0	0	0	17	2	0	4	5	2
kml	0	0	0	0	0	0	0	5	88	0	0	0	0	5	1	0	0	0	1
kmz	0	0	13	0	0	23	0	0	0	60	3	2	6	0	0	1	0	0	0
png	0	0	6	0	3	10	0	0	0	1	59	1	13	0	0	5	0	0	0
pps	0	0	1	0	2	32	0	0	0	3	2	40	17	0	1	7	0	0	0
pptx	0	0	4	0	3	25	0	0	0	3	7	6	37	0	0	10	0	0	0
ps	0	0	0	0	0	2	0	0	0	0	0	0	0	90	6	0	0	1	0
rtf	0	0	0	0	0	0	5	0	0	0	0	1	1	5	88	0	0	0	1
swf	0	0	6	3	3	22	0	0	0	3	13	4	23	0	0	27	0	0	0
tmp	2	0	0	2	3	0	3	2	2	0	0	0	0	21	2	0	42	0	15
troff	3	0	0	0	0	0	5	0	0	0	0	0	0	21	0	0	10	58	9
txt	7	0	0	5	0	0	6	1	0	0	0	0	0	18	1	0	9	8	44
