True	dbase3	doc	docx	dwf	eps	f	gif	hlp	kml	ppt	pptx	ps	tex	text	troff	txt	unk	wp	xls	xml
dbase3	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	55	0	0	0	3	1	0	0	2	5	0	0	0	0	4	2	5	24	0
docx	0	0	86	0	0	0	1	0	0	1	10	0	0	0	0	0	0	0	0	0
dwf	0	0	0	81	0	0	4	0	0	1	12	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	83	0	0	0	0	0	0	17	1	1	0	0	1	1	0	3
f	0	0	0	0	5	27	0	12	2	0	0	2	5	10	3	18	15	0	0	5
gif	0	0	5	4	0	0	79	0	0	2	6	0	0	4	0	0	0	1	0	0
hlp	0	0	0	0	1	13	0	74	0	0	0	0	2	4	0	0	4	3	0	0
kml	0	0	0	0	1	0	0	0	83	0	0	0	2	2	0	2	0	0	0	10
ppt	0	20	0	0	0	0	7	0	0	6	55	0	0	1	0	0	0	4	15	0
pptx	0	0	13	3	1	0	7	0	0	6	71	0	0	0	0	0	0	3	0	0
ps	0	0	0	0	38	2	0	0	3	0	2	51	1	0	1	0	0	0	0	5
tex	0	0	0	0	2	4	0	4	0	0	0	0	80	0	1	2	3	0	0	5
text	0	18	1	1	3	3	1	0	2	0	6	10	0	20	6	2	17	0	7	0
troff	0	0	0	0	5	10	0	2	0	0	0	6	0	2	62	8	6	0	0	5
txt	0	0	0	0	7	5	0	4	1	0	0	5	2	21	7	18	17	2	0	0
unk	0	9	0	0	1	5	0	9	1	0	1	2	2	2	0	9	48	1	3	3
wp	0	1	1	6	1	2	2	2	0	1	4	1	0	0	0	1	7	67	1	0
xls	0	22	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	4	75	0
xml	0	0	0	0	2	0	0	0	11	0	0	3	0	0	0	0	1	0	0	67
