True	docx	dwf	eps	f	fits	gz	hlp	html	java	jpg	kmz	pdf	ppt	swf	tex	text	troff	txt	unk	wp	xls
docx	87	2	0	0	0	10	0	0	0	0	2	1	2	2	0	0	0	0	0	0	0
dwf	0	81	0	0	0	4	0	0	0	2	2	0	0	3	0	2	0	0	0	1	0
eps	0	0	88	0	0	0	1	1	0	0	0	2	0	0	1	2	2	3	0	0	0
f	0	0	3	33	4	0	2	1	4	0	0	1	0	0	0	3	17	9	21	0	0
fits	0	7	0	2	75	0	0	0	0	2	0	0	2	4	0	3	1	1	2	0	3
gz	1	3	0	0	0	73	0	0	0	2	1	3	4	11	0	0	0	0	0	0	0
hlp	0	0	0	11	2	0	66	0	1	0	0	2	0	0	0	6	5	5	5	0	0
html	0	0	5	5	1	0	1	73	2	0	0	5	0	0	2	0	2	1	4	0	0
java	0	0	7	9	0	0	8	0	52	0	0	0	0	0	6	0	10	5	5	0	0
jpg	0	3	0	0	0	4	0	0	0	68	0	3	8	2	0	1	0	0	1	5	3
kmz	0	23	0	0	0	14	0	0	0	0	52	0	3	1	0	0	0	0	0	5	0
pdf	0	6	4	0	2	10	0	1	0	0	2	55	5	15	0	1	0	0	0	0	0
ppt	0	6	0	0	2	21	0	0	0	3	0	0	20	14	0	10	0	0	1	3	15
swf	0	8	0	0	2	17	0	0	0	4	2	3	10	50	0	0	0	1	0	2	0
tex	0	0	3	4	0	0	1	7	0	0	0	0	4	0	65	5	2	4	3	0	0
text	0	0	5	10	7	2	0	0	0	1	0	4	2	3	0	35	10	12	4	1	10
troff	0	0	8	15	0	0	0	3	0	0	0	0	0	0	1	6	60	1	4	0	2
txt	0	0	17	17	15	0	2	2	2	0	0	0	0	0	0	9	10	13	11	0	0
unk	0	0	10	13	14	0	3	0	1	2	0	0	2	0	1	6	10	2	33	1	8
wp	0	5	1	3	2	0	3	0	1	2	3	0	4	1	0	4	1	2	6	60	1
xls	0	0	0	0	0	0	0	0	0	1	0	0	13	1	0	3	0	0	0	1	78
