True	dbase3	docx	f	gz	hlp	html	java	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	tex	text	tmp	txt	wp	xls
dbase3	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	83	0	7	0	0	0	0	3	0	0	1	1	1	5	0	0	0	0	0	0	1	0
f	0	0	56	0	0	2	16	1	0	6	0	0	0	0	0	3	2	0	2	1	7	1	0
gz	0	0	0	61	0	0	0	0	13	0	0	1	1	0	25	0	0	0	0	0	0	1	0
hlp	0	0	15	0	66	0	7	0	0	4	0	0	0	0	0	0	0	0	0	2	4	1	0
html	0	0	9	0	0	74	0	6	0	3	0	0	0	0	0	5	2	2	1	2	0	0	0
java	0	0	11	0	0	2	68	6	0	8	0	0	0	0	0	2	0	1	0	1	0	0	0
kml	0	0	1	0	0	6	0	80	0	9	0	0	0	0	0	0	0	3	0	2	0	0	0
kmz	0	0	0	11	0	0	0	0	71	0	0	0	1	0	16	0	0	0	0	0	0	2	0
log	0	0	8	0	0	7	3	7	0	52	1	0	0	0	0	3	0	3	0	12	0	0	0
pdf	0	0	2	8	0	0	0	0	2	4	42	6	2	2	18	8	0	0	2	1	1	1	1
png	0	0	0	3	0	0	0	0	8	0	0	60	0	2	17	0	0	0	0	0	0	4	4
pps	0	0	0	15	0	0	0	0	5	0	0	2	8	5	25	0	0	0	3	2	0	3	30
ppt	0	0	0	13	0	0	0	0	5	0	3	2	8	6	31	0	0	0	3	0	0	6	20
pptx	0	3	0	26	0	0	0	0	4	0	2	3	7	3	49	0	0	0	0	0	0	3	2
ps	0	0	4	0	0	6	1	0	2	16	0	0	0	0	0	68	1	0	0	3	1	0	0
rtf	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	5	92	2	0	0	0	0	0
tex	0	0	4	0	0	1	0	4	0	8	0	0	0	0	0	0	0	77	0	1	4	0	0
text	0	1	24	3	0	2	2	0	1	0	0	0	0	4	7	8	0	2	14	2	9	2	18
tmp	0	0	10	0	3	6	0	0	0	9	0	0	0	0	0	3	0	1	4	57	4	2	0
txt	0	0	44	0	0	0	9	0	0	3	0	0	0	0	0	6	0	4	3	6	21	4	0
wp	0	0	3	0	0	0	0	0	4	0	0	10	0	2	2	0	2	0	0	0	0	79	0
xls	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	96
