True	csv	dbase3	docx	dwf	eps	f	gif	gz	hlp	html	java	jpg	kml	kmz	log	png	ps	swf	tex	tmp	troff	txt	unk	wp
csv	57	0	0	0	0	10	0	0	1	3	1	0	0	0	5	0	0	0	2	6	4	8	3	0
dbase3	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	0	86	0	0	0	1	8	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0
dwf	0	0	0	67	2	0	1	5	0	0	0	3	0	4	0	2	0	12	0	0	0	2	0	0
eps	1	0	0	0	68	0	0	0	0	2	0	0	0	0	2	0	22	0	1	0	1	5	1	1
f	5	0	0	0	0	31	0	0	4	1	2	0	0	0	3	0	2	0	0	2	2	25	16	0
gif	0	0	8	1	0	0	64	1	0	0	0	5	0	4	0	3	0	13	0	2	0	0	0	1
gz	0	0	0	7	0	0	0	63	0	0	0	0	0	7	0	3	0	20	0	0	0	0	0	0
hlp	0	0	0	0	0	8	0	0	74	0	5	0	0	0	3	0	0	0	0	0	1	7	3	0
html	1	0	0	0	1	4	0	0	0	65	2	0	6	0	8	0	9	0	0	2	2	5	0	0
java	0	0	0	0	0	6	0	0	2	0	46	0	1	0	28	0	0	0	3	1	4	4	3	2
jpg	0	2	1	1	0	0	2	3	0	2	0	65	0	0	0	2	0	17	0	0	0	1	0	4
kml	0	0	0	0	1	0	0	0	0	6	4	0	74	0	12	0	0	0	3	0	0	0	2	0
kmz	0	0	0	9	0	0	1	19	0	0	0	0	0	54	0	8	0	5	0	0	0	0	0	0
log	3	0	0	0	3	3	0	0	1	0	0	0	2	0	61	0	6	0	3	3	3	4	1	2
png	0	0	1	10	0	1	6	6	0	0	0	0	0	1	0	54	0	15	0	0	0	0	0	3
ps	3	0	0	0	18	0	0	0	0	0	1	0	0	2	6	0	56	0	1	0	0	10	2	0
swf	0	0	1	1	0	0	3	18	0	0	0	2	0	4	0	11	0	58	0	0	0	1	1	2
tex	0	0	0	0	4	2	0	0	0	3	0	0	0	0	20	0	1	0	62	0	2	6	5	0
tmp	0	0	2	0	1	7	0	0	4	4	0	0	0	0	6	0	8	0	0	51	2	13	4	0
troff	1	0	0	0	2	7	0	0	3	0	0	0	0	0	5	0	1	0	0	1	54	13	6	2
txt	0	0	0	0	8	16	0	0	2	0	0	0	0	0	4	0	5	0	0	3	5	51	9	0
unk	0	0	0	0	3	14	1	2	4	4	4	3	0	0	7	1	1	1	0	2	1	9	37	7
wp	0	0	1	2	0	6	1	0	1	0	0	3	0	0	0	7	0	3	0	0	0	4	12	62
