True	csv	doc	dwf	eps	f	gif	hlp	html	java	kmz	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	text	tmp	troff	txt	wp	xml
csv	62	0	0	0	4	0	0	8	2	0	0	0	0	0	0	3	0	2	0	3	5	3	4	0	3
doc	0	71	2	0	2	1	1	0	0	1	0	0	1	7	1	0	3	0	2	0	0	1	0	3	0
dwf	0	0	70	0	0	0	0	0	0	15	0	6	4	2	3	0	0	0	1	0	0	0	0	0	0
eps	1	0	0	76	0	0	0	0	0	0	2	0	0	0	0	14	2	2	0	1	0	0	1	1	0
f	4	0	0	1	19	0	6	1	7	0	0	0	0	0	0	4	2	10	0	3	2	13	22	5	2
gif	0	1	0	0	0	66	0	0	0	0	2	4	4	3	7	0	0	0	7	4	0	0	0	2	0
hlp	0	0	0	2	2	0	67	0	1	0	0	0	0	0	0	1	2	6	0	3	1	0	5	8	0
html	1	0	0	5	2	0	0	62	1	0	2	0	0	0	0	1	2	1	0	0	3	3	2	0	15
java	0	0	0	0	4	0	1	1	64	0	0	0	0	0	0	0	3	4	0	0	4	5	10	2	5
kmz	0	0	4	0	0	0	0	0	0	75	0	4	6	5	1	0	0	0	2	2	1	0	0	0	0
pdf	0	0	1	2	0	2	0	0	0	10	46	3	15	0	3	9	0	0	6	1	1	1	0	0	0
png	0	0	0	0	0	8	0	0	0	2	0	68	8	1	6	0	0	0	1	0	0	0	0	1	0
pps	0	17	2	0	0	1	0	0	0	11	0	6	20	17	10	0	1	0	6	1	1	0	1	2	0
ppt	0	28	0	1	0	3	0	0	0	8	0	6	19	17	10	0	0	0	5	0	0	0	0	4	0
pptx	0	0	1	1	0	2	0	0	0	11	0	8	24	10	30	0	3	0	11	0	0	0	0	1	0
ps	0	0	0	19	0	0	0	0	1	0	0	0	0	0	0	55	6	0	0	4	9	1	2	0	1
rtf	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	6	85	1	0	1	0	0	0	2	0
sql	5	0	0	2	9	2	3	1	4	0	0	0	0	0	2	4	0	49	0	0	7	3	8	0	0
swf	0	0	3	0	0	8	0	0	0	12	0	15	11	5	10	0	0	0	38	0	0	0	0	1	0
text	0	25	1	2	11	1	2	0	0	0	1	2	4	4	1	0	1	4	3	15	4	3	11	5	0
tmp	1	0	0	0	5	0	0	2	0	0	0	0	0	0	0	4	0	6	1	3	67	4	3	0	4
troff	1	0	0	4	9	0	0	1	5	0	0	0	0	0	0	1	0	8	0	9	2	60	4	0	0
txt	6	1	0	0	10	0	4	0	0	0	0	0	0	0	0	3	2	5	0	15	6	4	38	3	0
wp	0	1	0	0	1	0	1	0	0	2	0	8	1	2	3	3	1	1	2	0	2	0	0	74	0
xml	1	0	0	0	0	0	0	15	1	0	0	0	0	0	0	7	3	2	0	0	0	0	1	0	75
