True	csv	dbase3	doc	dwf	eps	f	fits	gif	hlp	java	jpg	kmz	log	pdf	pps	ps	rtf	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	69	0	0	0	1	1	1	0	0	0	0	0	4	0	0	2	2	0	1	2	5	6	1	1	0	0	3
dbase3	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	44	0	1	0	0	3	2	3	1	2	3	0	3	0	3	1	0	0	1	0	0	0	0	31	1
dwf	0	0	0	79	0	0	0	0	0	0	1	5	0	0	10	0	0	6	0	0	0	0	0	0	0	0	0
eps	1	0	0	0	72	0	1	0	0	0	0	0	2	1	0	16	1	0	0	1	0	0	0	1	0	0	2
f	1	0	0	0	0	22	3	0	4	16	0	0	2	0	0	2	0	0	0	7	3	17	4	19	0	0	2
fits	0	0	0	1	0	2	65	3	0	0	1	0	2	3	2	2	0	4	0	3	0	0	3	6	0	1	0
gif	0	0	0	2	0	0	0	69	0	0	3	1	0	2	9	0	0	8	0	3	1	0	0	0	2	0	0
hlp	0	0	0	0	0	5	2	0	68	12	0	0	0	0	0	0	2	0	0	0	2	2	1	10	0	0	0
java	1	0	0	0	0	0	0	0	0	75	0	0	8	0	0	2	1	0	1	0	1	2	0	6	0	0	4
jpg	0	0	5	1	0	0	0	2	0	0	66	1	0	1	18	0	0	6	0	2	0	0	0	0	3	0	0
kmz	0	0	0	7	0	0	0	2	0	0	0	65	0	0	21	0	0	3	0	0	0	0	0	0	0	0	0
log	0	0	0	0	3	2	0	0	1	3	0	0	64	0	0	9	2	0	3	0	6	2	0	0	1	0	10
pdf	0	1	0	4	3	0	0	2	0	1	2	6	0	43	13	4	1	14	0	0	0	0	0	0	0	0	0
pps	0	0	6	7	0	0	1	3	0	0	1	8	0	3	35	0	1	20	0	1	0	0	0	0	3	9	0
ps	1	0	0	0	14	2	1	0	0	1	0	2	6	1	0	58	3	0	0	0	2	1	1	0	0	0	0
rtf	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	5	88	0	0	0	0	0	0	1	0	0	2
swf	0	0	0	4	0	0	0	2	0	0	2	4	0	4	23	0	0	54	0	2	0	0	0	0	2	0	0
tex	0	0	0	0	0	3	0	0	0	4	0	0	6	0	0	2	4	0	53	0	2	0	2	7	1	0	16
text	1	0	18	2	3	4	7	0	0	1	0	0	3	0	4	2	2	2	0	16	6	5	7	5	0	10	2
tmp	0	0	0	0	2	2	2	0	2	0	0	0	16	0	0	0	0	1	0	6	60	7	0	0	1	1	1
troff	3	0	0	0	1	6	1	0	3	2	0	0	3	1	0	4	0	0	0	2	3	57	11	4	0	0	1
txt	3	0	0	0	8	14	5	0	4	11	0	0	5	0	0	3	2	0	0	9	8	8	12	9	1	0	0
unk	0	0	3	2	2	3	11	1	2	5	1	0	4	2	0	4	3	0	1	3	0	7	7	33	3	0	3
wp	0	0	2	2	0	0	2	0	1	2	2	0	0	0	3	0	1	0	0	1	0	0	0	1	85	1	0
xls	0	0	15	1	0	2	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	76	0
xml	1	0	0	0	0	6	0	0	0	2	0	0	4	2	0	2	2	0	1	0	1	0	0	0	0	0	71
