True	csv	dbase3	doc	docx	dwf	eps	gz	hlp	html	jpg	kml	kmz	log	pdf	png	pps	ppt	ps	rtf	sql	swf	tex	text	tmp	troff	txt	xls	xml
csv	56	0	0	0	0	5	0	1	8	0	4	0	6	2	0	0	0	1	1	5	0	0	0	10	2	2	0	0
dbase3	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	3	0	73	1	0	1	0	0	2	2	0	0	0	0	1	8	5	0	1	0	2	0	0	0	0	0	3	0
docx	0	0	1	88	0	0	4	0	0	0	0	3	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0
dwf	0	0	0	0	69	0	3	0	0	3	0	3	0	3	5	3	1	0	0	0	4	0	1	0	0	0	0	0
eps	0	0	0	0	0	56	0	0	4	0	1	0	2	1	0	0	0	9	1	2	0	0	3	0	0	12	0	1
gz	0	0	0	0	7	0	42	0	0	0	0	29	0	10	1	25	0	0	0	0	3	0	0	0	0	0	0	0
hlp	3	0	3	0	0	1	0	71	6	0	0	0	2	0	0	0	0	0	0	3	0	0	0	1	0	11	0	1
html	9	0	0	0	0	2	0	1	57	0	5	0	3	1	0	0	0	3	0	2	0	0	1	11	0	1	0	3
jpg	0	0	5	0	1	0	0	0	2	58	0	2	3	4	2	10	0	0	0	0	3	0	1	0	0	0	1	0
kml	1	0	0	0	0	0	0	0	3	0	85	0	6	0	0	0	0	2	0	1	0	0	0	0	0	0	0	9
kmz	0	0	0	0	14	0	10	0	0	0	0	54	0	1	6	9	2	0	0	0	1	0	0	0	0	0	0	0
log	3	0	0	0	0	9	0	1	4	0	8	0	47	0	0	0	0	7	0	1	0	3	0	3	4	4	0	1
pdf	2	0	0	0	2	0	5	0	0	2	0	3	0	52	1	10	1	5	0	0	6	0	1	0	0	1	0	1
png	0	0	0	3	9	0	1	0	0	0	0	4	0	4	57	21	2	0	0	0	2	0	0	0	0	0	0	0
pps	0	0	17	0	1	0	9	0	0	1	0	7	0	8	3	29	6	0	0	0	9	0	1	2	0	0	2	0
ppt	0	0	31	0	4	0	9	0	0	1	0	6	0	4	6	31	3	0	2	0	6	0	3	0	0	0	2	0
ps	0	0	1	0	0	13	0	1	0	0	7	1	4	2	0	0	0	57	0	0	0	0	2	0	0	9	0	1
rtf	1	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	2	89	1	0	0	0	0	0	0	0	0
sql	9	0	0	2	0	1	0	4	7	0	0	0	5	0	0	0	0	4	0	41	0	4	8	6	7	5	0	0
swf	0	0	2	1	6	2	2	2	0	8	0	7	0	7	11	11	3	0	0	0	33	0	1	0	0	0	1	0
tex	0	0	0	0	0	0	0	5	10	0	4	0	11	0	0	0	0	0	1	3	0	52	0	0	2	4	0	8
text	0	0	24	1	1	3	2	3	3	0	2	0	1	1	0	7	0	1	0	6	2	0	20	7	8	21	0	0
tmp	3	0	0	2	0	4	0	0	4	0	0	0	3	7	0	0	0	6	1	7	0	1	0	40	5	11	0	3
troff	6	0	0	0	0	4	0	2	7	1	0	0	5	0	0	0	0	4	0	3	0	0	3	4	45	14	0	0
txt	14	0	3	0	0	1	0	8	4	0	1	0	2	1	0	0	0	0	1	8	0	2	8	4	4	40	0	0
xls	0	0	70	0	0	0	0	0	0	1	0	0	0	0	0	12	3	1	0	0	1	0	0	0	0	0	15	0
xml	3	0	0	0	0	4	0	0	10	0	19	0	6	0	0	0	0	1	1	0	0	0	0	0	1	1	0	51
