True	csv	doc	docx	dwf	eps	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	ppt	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	61	0	0	0	1	2	0	0	0	7	1	0	0	0	3	3	0	0	1	0	2	0	1	2	4	3	1	0	0	0	0
doc	1	18	2	0	0	0	0	1	0	4	1	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	8	54	1
docx	0	0	90	3	0	0	0	5	0	0	0	0	0	2	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
dwf	0	0	0	74	0	0	1	4	0	0	0	0	0	4	0	0	4	1	0	0	0	9	0	2	0	0	0	0	0	0	0
eps	2	0	1	0	66	3	0	1	1	1	2	1	0	0	2	2	0	0	13	3	0	0	0	0	1	0	6	0	0	0	0
fits	0	1	0	0	0	58	5	1	1	0	0	1	0	0	0	2	2	3	2	0	0	4	0	4	0	0	11	5	7	0	0
gif	0	0	3	5	0	0	66	0	0	0	0	2	0	1	0	3	6	2	0	0	0	3	0	0	0	0	0	0	4	0	0
gz	0	0	1	7	0	0	0	66	0	0	0	0	0	14	0	1	1	2	0	0	0	5	0	0	0	0	0	0	0	0	0
hlp	2	0	0	0	0	0	0	0	64	0	5	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	6	20	0	0
html	3	0	0	0	3	0	0	0	0	75	0	0	2	0	1	3	0	0	2	3	0	0	0	0	1	0	0	2	1	0	8
java	0	0	0	0	0	0	0	0	3	3	55	0	1	0	5	0	0	0	0	1	0	0	0	4	1	0	6	6	8	0	6
jpg	0	1	0	7	0	0	4	5	0	0	0	57	0	0	0	6	2	3	0	0	0	3	0	2	0	0	0	2	4	0	0
kml	1	0	0	0	0	0	0	0	0	6	0	0	69	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	14
kmz	0	0	0	5	0	0	0	27	0	0	0	0	0	57	0	0	5	1	0	0	0	3	0	0	0	0	0	0	0	0	0
log	5	0	0	0	8	0	0	0	0	6	3	0	3	0	45	2	0	0	5	3	0	0	9	0	5	4	2	0	0	0	2
pdf	1	0	0	4	0	0	3	8	0	0	0	0	0	0	2	72	1	2	3	0	0	8	0	1	1	1	0	0	1	0	1
png	0	0	0	6	0	0	6	15	0	0	0	0	0	8	0	2	57	2	0	0	0	2	0	0	0	0	0	0	7	0	0
ppt	0	11	1	4	0	0	2	21	0	0	0	0	0	5	0	5	4	10	0	0	0	12	0	0	0	0	0	0	9	19	0
ps	0	0	0	0	15	0	0	0	0	2	3	0	0	0	4	6	0	0	53	5	0	0	0	2	1	1	5	0	0	0	1
rtf	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	92	0	0	0	0	0	0	0	0	1	1	0
sql	17	0	0	0	3	0	0	0	2	16	2	0	1	0	0	0	0	0	1	0	23	0	2	8	6	1	8	0	1	0	0
swf	0	1	1	5	0	0	13	23	0	0	0	0	0	2	0	5	8	3	0	0	0	27	0	0	0	0	0	1	4	2	0
tex	3	0	0	0	0	0	0	0	0	4	4	0	3	0	4	1	0	0	0	15	1	0	56	0	1	0	1	0	4	0	5
text	2	11	1	0	0	2	1	6	0	7	0	0	0	0	1	0	1	2	0	0	4	0	0	12	2	6	13	3	5	13	1
tmp	3	0	6	0	0	0	0	0	0	7	1	0	0	0	5	0	0	0	0	3	0	2	2	9	46	3	12	0	5	0	1
troff	7	0	0	0	3	0	0	0	3	7	6	1	0	0	2	0	0	0	3	0	3	0	0	12	0	49	6	4	4	0	2
txt	8	0	0	0	0	4	0	0	0	9	5	0	0	0	1	1	0	0	0	3	2	0	0	8	5	7	28	6	10	0	2
unk	3	5	0	0	4	5	0	0	1	6	11	1	0	0	0	1	1	3	0	5	1	0	0	2	3	3	9	29	4	0	1
wp	4	0	0	9	0	3	2	1	0	0	1	0	0	1	0	0	1	1	1	1	0	2	0	0	0	0	1	0	74	0	0
xls	0	10	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	4	75	0
xml	3	0	0	0	0	0	0	0	1	16	1	0	10	0	6	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	59
