True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	ps	rtf	swf	tex	text	troff	txt	unk	wp	xls	xml
csv	67	0	0	0	0	0	9	2	0	0	0	6	2	0	0	0	6	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0
dbase3	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	29	1	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	4	30	0	1	1	0	0	0	0	2	0	26	0
docx	0	0	0	90	0	0	0	0	1	7	0	0	0	0	0	1	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0
dwf	0	0	0	0	77	0	0	0	0	4	0	0	0	2	0	2	0	1	1	1	0	0	0	11	0	0	0	0	0	0	0	0
eps	0	0	0	0	0	55	1	0	0	0	0	1	0	0	0	0	9	2	0	0	0	26	1	0	0	0	1	3	0	0	0	1
f	6	0	0	0	0	0	30	1	0	0	4	2	11	0	0	0	3	0	0	0	0	2	0	0	2	4	8	6	20	0	0	1
fits	0	0	0	0	3	0	3	70	3	1	0	0	0	2	0	0	0	2	0	0	1	0	0	5	0	4	0	0	6	1	2	0
gif	0	0	0	0	7	0	0	1	70	1	0	0	0	6	0	4	0	0	2	0	4	0	0	4	0	2	0	0	0	0	0	0
gz	0	0	0	0	8	0	0	0	4	57	0	0	0	1	0	4	0	1	4	0	5	0	0	18	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	3	0	0	0	70	0	11	0	0	0	0	0	0	0	0	2	2	0	0	2	3	3	9	0	0	0
html	2	0	0	0	0	0	2	0	0	0	2	70	1	0	1	0	3	0	0	0	0	6	0	0	0	1	1	0	3	0	0	11
java	0	0	0	0	0	0	3	0	0	0	0	1	64	0	2	0	10	0	0	0	0	2	9	0	0	0	0	1	4	0	0	0
jpg	0	0	0	0	6	0	0	0	4	1	0	1	0	65	0	0	0	1	0	3	1	0	0	9	0	0	1	0	0	2	6	0
kml	0	0	0	0	0	0	1	0	0	0	0	1	1	0	82	0	3	0	0	0	0	0	0	0	1	0	0	0	2	0	0	11
kmz	0	0	0	0	12	0	0	0	0	21	0	0	0	1	0	51	0	0	0	3	3	0	0	6	0	2	0	0	0	0	0	0
log	2	0	0	0	0	0	2	1	0	0	0	2	3	0	1	0	65	0	0	0	0	8	0	0	6	0	0	2	3	0	0	6
pdf	0	0	0	0	3	0	0	0	9	7	0	0	1	1	0	7	1	34	3	3	0	6	0	21	0	0	0	1	0	0	0	2
png	0	0	0	0	10	0	0	0	5	4	0	0	0	10	0	5	0	0	47	0	4	0	0	13	0	0	0	0	0	4	0	0
pps	0	0	1	1	4	0	0	0	2	22	1	0	0	3	0	9	0	2	1	5	18	0	0	18	0	1	0	0	0	1	11	0
ppt	0	0	8	1	3	0	0	3	0	16	0	0	0	2	0	2	0	3	1	5	29	0	0	15	0	0	0	0	1	2	8	0
ps	2	0	0	0	0	7	0	0	0	2	0	8	1	0	1	0	5	4	0	0	0	61	4	0	0	1	1	3	1	0	0	0
rtf	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	90	0	1	0	1	0	0	1	2	0
swf	0	0	0	1	14	0	0	0	5	7	0	2	0	0	0	5	0	2	6	4	4	0	0	44	0	0	0	0	0	5	0	0
tex	1	0	0	0	0	0	4	0	0	0	1	1	4	0	1	0	9	0	0	0	2	1	6	0	65	0	1	2	1	0	0	2
text	2	0	9	1	2	0	6	1	2	3	0	2	1	0	0	0	4	0	0	3	5	1	0	3	2	21	7	10	6	6	3	0
troff	3	0	0	0	0	0	10	0	0	0	3	2	5	0	0	0	2	0	0	0	0	4	1	0	0	10	47	1	6	0	0	1
txt	6	0	0	0	0	1	23	2	0	0	2	5	4	0	0	0	7	0	0	0	0	6	2	0	0	8	8	17	9	1	0	0
unk	2	0	3	0	0	0	11	2	1	0	3	7	11	1	0	0	3	0	0	1	3	4	0	0	0	2	5	6	31	0	4	1
wp	0	0	0	0	6	0	0	5	1	0	1	0	0	2	0	1	0	0	4	2	3	0	1	3	0	0	1	0	1	65	2	0
xls	0	0	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	13	0	0	2	0	0	0	0	1	0	60	0
xml	0	0	0	0	0	0	1	0	0	0	0	13	1	0	12	0	7	1	0	0	0	1	2	0	0	0	0	0	0	0	0	59
