True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	60	0	0	0	0	1	3	0	0	0	1	1	1	0	0	0	2	0	0	0	4	0	6	0	2	0	3	6	2	4	0	0	0
dbase3	0	103	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	1	0	17	0	0	1	0	1	0	3	1	0	0	0	0	0	0	4	1	0	0	1	0	0	1	1	0	0	0	0	1	66	0
docx	0	0	0	92	0	0	0	0	1	5	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	84	0	0	0	1	2	0	0	0	0	0	1	0	3	0	4	0	0	0	3	0	1	0	0	0	0	1	0	0
eps	1	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	1	1	1	0	26	4	0	0	0	0	1	1	7	0	0	0	4
f	0	0	0	0	0	0	30	2	0	0	4	5	4	0	3	0	0	0	0	0	3	0	6	0	2	3	3	4	19	13	1	0	2
fits	0	0	2	0	0	0	2	69	6	0	0	1	0	1	0	0	0	1	2	2	0	0	0	4	0	3	0	0	1	3	0	0	0
gif	0	0	0	2	3	0	0	0	89	0	0	0	0	0	0	2	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
gz	0	0	0	1	1	0	0	0	0	71	0	0	0	1	0	2	0	11	2	13	0	0	0	1	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	6	0	0	0	69	2	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	3	10	7	0	0
html	1	0	0	0	0	1	1	1	0	0	0	67	0	0	1	0	2	0	0	0	2	2	0	0	0	0	2	2	4	3	0	0	11
java	0	0	0	0	0	0	3	0	0	0	2	1	52	0	0	0	6	0	0	0	4	4	4	0	0	0	0	0	2	9	0	0	7
jpg	0	0	1	0	1	0	0	0	3	5	0	1	0	69	0	0	2	6	2	10	0	0	0	0	0	0	0	0	0	0	4	0	0
kml	0	0	0	0	0	0	0	0	0	0	0	4	3	0	76	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	11
kmz	0	0	0	1	8	0	0	0	0	33	0	0	0	0	0	46	0	4	0	5	0	0	0	1	0	0	0	0	0	0	2	0	0
log	2	0	0	0	0	3	0	0	0	0	0	3	2	0	5	0	39	0	0	0	11	0	2	0	4	0	6	1	2	1	0	0	10
pps	0	0	4	0	1	0	0	0	3	23	0	0	0	1	0	0	0	12	6	18	1	1	0	7	0	2	0	0	0	3	3	15	0
ppt	0	0	3	0	3	0	0	1	6	19	0	0	0	2	0	0	0	11	14	12	0	0	0	4	0	2	0	0	0	0	2	20	0
pptx	0	0	1	13	2	0	0	0	4	28	0	0	0	3	0	1	0	15	6	27	0	0	0	2	0	0	0	0	0	0	0	0	0
ps	2	0	0	0	0	10	2	0	0	0	0	2	5	0	4	0	2	0	0	0	59	4	0	0	0	1	2	0	7	0	0	0	0
rtf	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	90	0	0	0	0	0	0	1	1	0	1	0
sql	3	0	0	2	0	0	17	0	0	0	4	3	0	0	0	0	2	0	0	0	5	0	33	0	1	8	6	3	8	6	0	0	0
swf	0	0	1	0	6	2	0	0	8	16	0	0	0	5	0	0	0	11	2	12	0	0	0	33	0	2	0	1	1	0	3	0	0
tex	0	0	0	0	0	1	0	0	0	0	1	2	1	0	3	0	0	0	0	0	0	1	3	0	75	1	2	0	3	2	0	0	4
text	0	0	3	2	0	1	3	3	2	1	1	2	1	3	4	0	1	4	2	3	3	4	2	0	2	17	3	2	5	12	0	15	0
tmp	0	0	2	2	0	0	5	2	0	0	1	2	0	0	0	0	6	2	0	0	4	2	7	0	0	2	54	0	7	1	0	0	2
troff	3	0	0	0	0	0	10	1	0	0	1	2	5	0	0	0	0	0	0	0	5	0	1	0	1	2	1	58	2	7	1	0	0
txt	4	0	0	0	0	1	15	2	0	0	4	0	2	0	1	0	1	0	0	0	1	2	3	0	4	4	5	5	32	6	4	0	0
unk	1	0	1	0	0	0	6	5	3	0	3	6	6	0	0	0	2	2	0	2	6	2	3	0	0	1	0	3	10	33	4	3	0
wp	0	0	1	0	5	0	1	2	5	0	5	1	0	3	0	0	1	2	2	0	0	0	3	3	0	0	1	0	1	7	59	1	0
xls	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	3	0	3	0	0	0	0	1	0	0	0	11	1	72	0
xml	0	0	0	0	0	0	0	0	0	0	0	15	1	0	16	0	2	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	60
