True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	unk	wp	xls	xml
csv	80	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	1	2	0	3	0	0	2	1	0	0	0
dbase3	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
doc	0	0	65	1	1	0	0	1	2	2	0	1	0	0	0	0	0	0	1	3	7	3	0	0	1	2	0	1	0	0	0	0	5	0
docx	0	0	0	86	1	0	0	0	0	4	0	0	0	1	0	0	0	0	2	2	1	3	0	0	0	1	0	0	0	0	0	0	0	0
dwf	0	0	0	0	83	0	0	1	1	3	0	0	0	0	0	1	0	0	1	5	0	1	0	0	0	4	0	0	0	0	0	0	0	0
eps	0	0	0	2	0	63	2	2	0	0	1	0	0	0	1	0	4	6	0	0	0	0	16	0	1	0	0	0	0	1	0	0	0	0
f	5	0	0	0	0	1	32	1	0	0	4	2	1	0	0	0	2	0	3	0	0	0	3	2	10	0	3	3	3	2	19	0	2	0
fits	0	0	0	0	2	0	1	81	5	0	0	0	0	0	0	0	1	0	3	1	1	0	1	0	0	2	0	2	0	0	2	0	3	0
gif	0	0	0	0	3	0	0	2	82	0	0	0	0	0	0	0	0	3	3	0	1	1	0	0	0	1	0	4	0	0	0	1	0	0
gz	0	0	0	0	4	0	0	0	0	50	0	0	0	1	0	6	0	4	2	12	3	7	0	0	0	4	0	0	0	0	0	0	0	0
hlp	4	0	0	0	0	0	6	0	0	0	68	0	7	0	0	0	0	0	0	0	0	0	1	2	7	0	0	1	1	0	10	0	0	0
html	1	0	0	0	0	3	3	0	0	0	0	63	0	0	2	0	1	0	0	0	0	0	0	0	4	0	5	0	0	1	9	0	0	10
java	2	0	0	0	0	1	2	0	0	0	0	0	73	0	0	0	8	0	0	0	0	0	1	1	2	0	3	0	0	0	10	0	0	0
jpg	0	2	3	0	7	0	0	0	2	1	0	0	0	67	0	1	0	0	2	2	3	3	0	0	0	6	0	1	0	0	1	0	2	0
kml	0	0	0	0	0	1	0	0	0	0	0	2	6	0	76	0	5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	5
kmz	0	0	0	0	7	0	0	0	0	13	0	0	0	0	0	50	0	4	4	2	3	6	0	0	0	4	0	0	0	0	0	1	0	0
log	3	0	1	0	0	7	1	0	0	0	0	1	5	0	1	0	61	1	0	0	0	0	4	1	4	0	9	0	2	0	1	0	0	1
pdf	0	0	0	0	9	1	0	2	5	9	0	3	0	0	0	1	1	45	2	5	5	5	7	0	0	2	0	0	0	0	0	0	1	0
png	0	0	0	0	3	0	0	0	2	4	0	0	0	1	0	6	0	0	70	2	5	10	0	0	0	4	0	0	0	0	0	0	0	0
pps	0	0	5	0	0	0	0	1	2	19	0	0	0	0	0	2	0	0	2	14	16	5	0	0	0	10	0	5	0	0	0	1	9	0
ppt	0	0	15	1	1	0	0	0	3	11	0	0	0	1	0	2	0	1	3	13	21	8	0	0	0	8	0	1	0	0	0	1	8	1
pptx	0	0	0	18	2	0	0	0	5	15	0	0	0	2	0	5	0	0	4	18	5	15	0	0	0	11	0	1	0	0	0	0	0	0
ps	0	0	0	0	0	20	2	0	0	0	0	3	2	0	1	1	7	2	0	0	0	0	55	1	1	0	2	1	1	0	1	0	0	0
rtf	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5	80	2	0	4	0	0	0	0	1	1	0
sql	5	0	0	2	0	0	18	0	0	0	2	0	1	0	0	0	5	0	0	0	0	0	3	0	46	0	4	5	0	4	6	0	0	0
swf	0	0	1	0	11	0	0	2	5	13	0	0	0	2	0	2	0	1	5	15	4	7	0	0	0	27	0	0	0	0	0	5	7	0
tex	0	0	0	0	0	1	2	0	0	0	0	2	1	0	0	0	5	0	0	0	0	0	4	3	3	0	74	0	2	0	0	0	0	0
text	1	0	18	0	0	3	7	11	1	0	2	0	0	0	1	0	2	0	1	1	1	3	1	1	7	2	0	15	3	5	6	0	1	0
tmp	6	0	0	6	0	1	7	2	0	0	0	9	0	0	0	0	3	1	0	0	2	0	2	1	8	0	0	1	40	0	9	0	0	2
troff	6	0	0	0	0	3	21	1	0	0	2	2	2	0	0	0	3	0	0	0	0	0	4	0	2	0	0	1	0	40	12	0	0	2
unk	5	0	0	0	0	1	14	4	1	0	2	3	5	1	1	0	0	1	0	0	1	2	4	1	3	0	3	5	1	4	39	0	2	2
wp	0	0	4	0	1	0	1	1	1	0	2	0	0	0	0	0	0	0	13	0	7	0	0	1	0	2	0	0	0	1	3	59	1	0
xls	0	0	22	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	80	0
xml	0	0	0	0	0	0	2	0	0	0	0	11	1	0	23	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	54
