True	doc	f	fits	gz	hlp	html	log	pdf	png	ppt	pptx	troff	txt	unk	xml
doc	84	1	0	0	0	0	0	1	0	7	4	1	1	1	0
f	0	49	7	0	7	1	1	0	0	0	0	10	11	12	1
fits	2	2	75	0	0	0	0	6	2	4	1	0	0	5	0
gz	0	0	1	55	0	0	0	9	2	11	19	0	0	0	0
hlp	0	21	0	0	57	0	3	0	0	0	0	2	1	10	0
html	0	4	0	0	0	59	4	3	0	0	0	5	2	7	10
log	0	4	1	0	0	7	76	2	0	0	0	1	0	3	7
pdf	0	1	2	9	0	0	2	68	2	18	9	0	1	0	1
png	6	0	1	2	0	0	0	4	56	12	6	0	0	15	0
ppt	31	1	3	7	1	0	0	2	2	24	23	0	0	0	0
pptx	0	0	2	16	0	0	0	7	3	24	54	0	0	0	1
troff	0	17	4	0	2	1	0	0	0	0	0	48	12	9	0
txt	0	22	17	0	0	3	2	0	0	0	0	5	28	23	0
unk	2	14	10	0	3	5	6	4	1	3	0	3	13	34	0
xml	0	1	0	0	0	7	9	2	0	0	0	1	0	4	87
