True	csv	dbase3	doc	eps	f	kml	kmz	log	pdf	ppt	pptx	sql	text	tmp	troff	txt
csv	79	0	0	0	2	1	0	8	0	0	0	1	1	5	1	1
dbase3	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	73	1	1	0	0	2	2	8	6	0	6	0	0	0
eps	0	0	0	69	0	0	0	7	7	2	0	1	8	1	0	4
f	5	0	0	0	27	0	0	11	0	0	0	6	13	6	10	22
kml	0	0	0	2	0	79	0	6	4	0	0	2	3	1	0	0
kmz	0	0	0	0	0	0	85	0	1	2	9	0	0	0	0	0
log	1	0	0	3	0	9	0	57	5	0	0	4	3	2	6	4
pdf	0	0	0	0	0	3	4	1	70	5	22	0	0	0	0	0
ppt	1	0	20	0	0	0	11	0	5	21	33	1	5	0	1	0
pptx	0	0	3	0	0	0	12	0	8	9	71	0	0	0	0	0
sql	6	0	0	1	7	0	0	9	0	0	0	41	6	4	5	18
text	0	0	18	2	17	0	0	3	3	6	2	4	31	2	8	10
tmp	1	0	1	4	1	0	0	8	5	1	0	10	9	42	0	15
troff	6	0	0	0	10	2	0	3	4	0	0	0	13	0	55	10
txt	6	0	0	4	19	0	0	9	1	0	0	5	11	0	6	37
