Name	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
C64_16_2pr_C32_4_2pr_C64_32_2pr_F_D2_cat	8	0m09s	0.947	0.947
Name	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
C64_16_2pr_C32_4_2pr_C64_32_2pr_F_D3_cat	6	0m07s	0.94233334	0.913
Name	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
C64_16_2pr_C32_4_2pr_C64_32_2pr_F_D4_cat	5	0m06s	0.9005	0.802
Name	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
C64_16_2pr_C32_4_2pr_C64_32_2pr_F_D5_cat	9	0m10s	0.9232	0.805
Name	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
C64_16_2pr_C32_4_2pr_C64_32_2pr_F_D6_cat	9	0m10s	0.937	0.805
