Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
D	1179657	17	10m12s	0.8747	0.7407
LD	37289	7	10m18s	0.4951	0.4896
CL	25047	17	10m07s	0.4053	0.3719
CCL	330536	17	10m16s	0.4234	0.4555
CCLL	363560	16	9m46s	0.9006	0.8432
CMCML	296616	17	10m30s	0.8604	0.8199
CMCMLL	322600	17	10m33s	0.7276	0.7368
Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
D	1179657	18	10m35s	0.8721	0.7242
LD	37289	7	10m23s	0.4009	0.3666
CL	25047	18	10m30s	0.4053	0.3662
CCL	330536	17	10m10s	0.7874	0.6892
CCLL	363560	17	10m24s	0.9035	0.8068
CMCML	296616	14	8m33s	0.9087	0.8244
CMCMLL	322600	12	7m25s	0.9023	0.7918
